Graph: 24 vertices, 37 edges
Enumerating minimal dominating sets (basic)...
Model found. Size: 16, Elapsed: 0.000002083s
Model found. Size: 15, Elapsed: 0.000001417s
Model found. Size: 14, Elapsed: 0.000001375s
Model found. Size: 13, Elapsed: 0.000001292s
Model found. Size: 12, Elapsed: 0.000000916s
Model found. Size: 11, Elapsed: 0.000000917s
Model found. Size: 8, Elapsed: 0.000001625s
UNSAT. Elapsed: 0.000000042s
Model found. Size: 16, Elapsed: 0.000047083s
Model found. Size: 15, Elapsed: 0.000001625s
Model found. Size: 14, Elapsed: 0.000001084s
Model found. Size: 13, Elapsed: 0.000001125s
Model found. Size: 12, Elapsed: 0.000001042s
Model found. Size: 11, Elapsed: 0.000000833s
Model found. Size: 8, Elapsed: 0.000001417s
UNSAT. Elapsed: 0.000000083s
Model found. Size: 15, Elapsed: 0.000046917s
Model found. Size: 14, Elapsed: 0.000001542s
Model found. Size: 13, Elapsed: 0.000001042s
Model found. Size: 12, Elapsed: 0.000001125s
Model found. Size: 11, Elapsed: 0.000000958s
Model found. Size: 10, Elapsed: 0.000000917s
Model found. Size: 8, Elapsed: 0.000001125s
UNSAT. Elapsed: 0.000000042s
Model found. Size: 17, Elapsed: 0.000047541s
Model found. Size: 16, Elapsed: 0.000002083s
Model found. Size: 15, Elapsed: 0.000001292s
Model found. Size: 14, Elapsed: 0.000001333s
Model found. Size: 13, Elapsed: 0.000001209s
Model found. Size: 12, Elapsed: 0.000001042s
Model found. Size: 11, Elapsed: 0.000000959s
Model found. Size: 10, Elapsed: 0.000001375s
Model found. Size: 8, Elapsed: 0.000001167s
UNSAT. Elapsed: 0.000000083s
Model found. Size: 16, Elapsed: 0.000045958s
Model found. Size: 15, Elapsed: 0.000001709s
Model found. Size: 14, Elapsed: 0.000001208s
Model found. Size: 13, Elapsed: 0.000001291s
Model found. Size: 12, Elapsed: 0.000001042s
Model found. Size: 11, Elapsed: 0.000000917s
Model found. Size: 8, Elapsed: 0.000001167s
UNSAT. Elapsed: 0.000000042s
Model found. Size: 15, Elapsed: 0.000046750s
Model found. Size: 14, Elapsed: 0.000001417s
Model found. Size: 13, Elapsed: 0.000001042s
Model found. Size: 12, Elapsed: 0.000001125s
Model found. Size: 11, Elapsed: 0.000000917s
Model found. Size: 10, Elapsed: 0.000000834s
Model found. Size: 8, Elapsed: 0.000001000s
UNSAT. Elapsed: 0.000000042s
Model found. Size: 17, Elapsed: 0.000047667s
Model found. Size: 16, Elapsed: 0.000001834s
Model found. Size: 15, Elapsed: 0.000001208s
Model found. Size: 14, Elapsed: 0.000001333s
Model found. Size: 13, Elapsed: 0.000001084s
Model found. Size: 12, Elapsed: 0.000001042s
Model found. Size: 11, Elapsed: 0.000001042s
Model found. Size: 7, Elapsed: 0.000001875s
UNSAT. Elapsed: 0.000000041s
Model found. Size: 16, Elapsed: 0.000052875s
Model found. Size: 15, Elapsed: 0.000001750s
Model found. Size: 14, Elapsed: 0.000001166s
Model found. Size: 13, Elapsed: 0.000001167s
Model found. Size: 12, Elapsed: 0.000001000s
Model found. Size: 11, Elapsed: 0.000000875s
Model found. Size: 8, Elapsed: 0.000001416s
UNSAT. Elapsed: 0.000000042s
Model found. Size: 15, Elapsed: 0.000048375s
Model found. Size: 14, Elapsed: 0.000001583s
Model found. Size: 13, Elapsed: 0.000001042s
Model found. Size: 12, Elapsed: 0.000001250s
Model found. Size: 11, Elapsed: 0.000000792s
Model found. Size: 10, Elapsed: 0.000000791s
Model found. Size: 8, Elapsed: 0.000001125s
UNSAT. Elapsed: 0.000000042s
Model found. Size: 17, Elapsed: 0.000051458s
Model found. Size: 16, Elapsed: 0.000001958s
Model found. Size: 15, Elapsed: 0.000001417s
Model found. Size: 14, Elapsed: 0.000001292s
Model found. Size: 13, Elapsed: 0.000001084s
Model found. Size: 12, Elapsed: 0.000001000s
Model found. Size: 11, Elapsed: 0.000001000s
Model found. Size: 8, Elapsed: 0.000001416s
UNSAT. Elapsed: 0.000000041s
Model found. Size: 16, Elapsed: 0.000059125s
Model found. Size: 15, Elapsed: 0.000001792s
Model found. Size: 14, Elapsed: 0.000001417s
